File_name,img_width,img_height,NO._of_labels,image_path,label_path,box_0_name,box_0_width,box_0_height,box_1_name,box_1_width,box_1_height
0001_MRNN_NMDM_0090,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRNN_NMDM_0090.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRNN_NMDM_0090.txt,Non-Medical Mask,87,72,Person wearing Non-Medical Mask,174.0,198.0
0001_MRNN_SRGM_0000,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRNN_SRGM_0000.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRNN_SRGM_0000.txt,Surgical Mask,107,77,Person wearing Surgical Mask,116.0,195.0
0001_MRNN_SRGM_0045,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRNN_SRGM_0045.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRNN_SRGM_0045.txt,Surgical Mask,100,77,Person wearing Surgical Mask,132.0,189.0
0001_MRNN_SRGM_0090,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRNN_SRGM_0090.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRNN_SRGM_0090.txt,Surgical Mask,66,61,Person wearing Surgical Mask,158.0,160.0
0001_MRNW_0000,360,360,1,C:\karthi\Projects\Mini project\Images\0001_MRNW_0000.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRNW_0000.txt,Person Not wearing Mask,118,200,,,
0001_MRNW_0045,360,360,1,C:\karthi\Projects\Mini project\Images\0001_MRNW_0045.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRNW_0045.txt,Person Not wearing Mask,149,195,,,
0001_MRNW_0090,360,360,1,C:\karthi\Projects\Mini project\Images\0001_MRNW_0090.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRNW_0090.txt,Person Not wearing Mask,181,191,,,
0001_MRTN_DRNV_0000,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRTN_DRNV_0000.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRTN_DRNV_0000.txt,Disposable Respirator Without Valve,93,88,Person wearing Disposable Respirator Without Valve,117.0,200.0
0001_MRTN_DRNV_0045,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRTN_DRNV_0045.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRTN_DRNV_0045.txt,Disposable Respirator Without Valve,88,86,Person wearing Disposable Respirator Without Valve,137.0,201.0
0001_MRTN_DRNV_0090,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRTN_DRNV_0090.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRTN_DRNV_0090.txt,Disposable Respirator Without Valve,78,76,Person wearing Disposable Respirator Without Valve,176.0,191.0
0001_MRTN_DRWV_0000,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRTN_DRWV_0000.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRTN_DRWV_0000.txt,Disposable Respirator With Valve,96,97,Person wearing Disposable Respirator With Valve,115.0,210.0
0001_MRTN_DRWV_0045,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRTN_DRWV_0045.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRTN_DRWV_0045.txt,Disposable Respirator With Valve,88,93,Person wearing Disposable Respirator With Valve,134.0,195.0
0001_MRTN_DRWV_0090,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRTN_DRWV_0090.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRTN_DRWV_0090.txt,Disposable Respirator With Valve,72,76,Person wearing Disposable Respirator With Valve,180.0,182.0
0001_MRTN_NMDM_0000,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRTN_NMDM_0000.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRTN_NMDM_0000.txt,Non-Medical Mask,118,82,Person wearing Non-Medical Mask,124.0,208.0
0001_MRTN_NMDM_0045,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRTN_NMDM_0045.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRTN_NMDM_0045.txt,Non-Medical Mask,92,75,Person wearing Non-Medical Mask,132.0,186.0
0001_MRTN_NMDM_0090,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRTN_NMDM_0090.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRTN_NMDM_0090.txt,Non-Medical Mask,81,73,Person wearing Non-Medical Mask,164.0,178.0
0001_MRTN_SRGM_0000,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRTN_SRGM_0000.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRTN_SRGM_0000.txt,Surgical Mask,111,84,Person wearing Surgical Mask,120.0,197.0
0001_MRTN_SRGM_0045,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRTN_SRGM_0045.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRTN_SRGM_0045.txt,Surgical Mask,103,84,Person wearing Surgical Mask,138.0,198.0
0001_MRTN_SRGM_0090,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRTN_SRGM_0090.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRTN_SRGM_0090.txt,Surgical Mask,82,74,Person wearing Surgical Mask,163.0,177.0
0001_MSFC_NMDM_0000,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MSFC_NMDM_0000.jpg,C:\karthi\Projects\Mini project\Labels\0001_MSFC_NMDM_0000.txt,Non-Medical Mask,119,95,Person wearing Non-Medical Mask,121.0,191.0
0001_MSFC_NMDM_0045,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MSFC_NMDM_0045.jpg,C:\karthi\Projects\Mini project\Labels\0001_MSFC_NMDM_0045.txt,Non-Medical Mask,100,92,Person wearing Non-Medical Mask,144.0,192.0
0001_MSFC_NMDM_0090,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MSFC_NMDM_0090.jpg,C:\karthi\Projects\Mini project\Labels\0001_MSFC_NMDM_0090.txt,Non-Medical Mask,74,79,Person wearing Non-Medical Mask,174.0,180.0
0001_MSFC_SRGM_0000,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MSFC_SRGM_0000.jpg,C:\karthi\Projects\Mini project\Labels\0001_MSFC_SRGM_0000.txt,Surgical Mask,132,92,Person wearing Surgical Mask,132.0,194.0
0001_MSFC_SRGM_0045,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MSFC_SRGM_0045.jpg,C:\karthi\Projects\Mini project\Labels\0001_MSFC_SRGM_0045.txt,Surgical Mask,105,87,Person wearing Surgical Mask,151.0,194.0
0001_MSFC_SRGM_0090,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MSFC_SRGM_0090.jpg,C:\karthi\Projects\Mini project\Labels\0001_MSFC_SRGM_0090.txt,Surgical Mask,68,74,Person wearing Surgical Mask,171.0,178.0
0010_MRCW_SRGM_0000,360,360,2,C:\karthi\Projects\Mini project\Images\0010_MRCW_SRGM_0000.jpg,C:\karthi\Projects\Mini project\Labels\0010_MRCW_SRGM_0000.txt,Surgical Mask,71,71,Person wearing Surgical Mask,86.0,134.0
0010_MRCW_SRGM_0045,360,360,2,C:\karthi\Projects\Mini project\Images\0010_MRCW_SRGM_0045.jpg,C:\karthi\Projects\Mini project\Labels\0010_MRCW_SRGM_0045.txt,Surgical Mask,58,73,Person wearing Surgical Mask,108.0,132.0
0010_MRCW_SRGM_0090,360,360,2,C:\karthi\Projects\Mini project\Images\0010_MRCW_SRGM_0090.jpg,C:\karthi\Projects\Mini project\Labels\0010_MRCW_SRGM_0090.txt,Surgical Mask,38,70,Person wearing Surgical Mask,126.0,134.0
0010_MRFH_SRGM_0000,360,360,2,C:\karthi\Projects\Mini project\Images\0010_MRFH_SRGM_0000.jpg,C:\karthi\Projects\Mini project\Labels\0010_MRFH_SRGM_0000.txt,Surgical Mask,84,46,Person wearing Surgical Mask,97.0,153.0
0010_MRFH_SRGM_0045,360,360,2,C:\karthi\Projects\Mini project\Images\0010_MRFH_SRGM_0045.jpg,C:\karthi\Projects\Mini project\Labels\0010_MRFH_SRGM_0045.txt,Surgical Mask,78,36,Person wearing Surgical Mask,100.0,137.0
0010_MRFH_SRGM_0090,360,360,2,C:\karthi\Projects\Mini project\Images\0010_MRFH_SRGM_0090.jpg,C:\karthi\Projects\Mini project\Labels\0010_MRFH_SRGM_0090.txt,Surgical Mask,64,40,Person wearing Surgical Mask,120.0,134.0
0010_MRHN_SRGM_0000,360,360,2,C:\karthi\Projects\Mini project\Images\0010_MRHN_SRGM_0000.jpg,C:\karthi\Projects\Mini project\Labels\0010_MRHN_SRGM_0000.txt,Surgical Mask,28,79,Person wearing Surgical Mask,92.0,159.0
0010_MRHN_SRGM_0045_B,360,360,2,C:\karthi\Projects\Mini project\Images\0010_MRHN_SRGM_0045_B.jpg,C:\karthi\Projects\Mini project\Labels\0010_MRHN_SRGM_0045_B.txt,Surgical Mask,28,66,Person wearing Surgical Mask,115.0,169.0
0010_MRHN_SRGM_0045_F,360,360,2,C:\karthi\Projects\Mini project\Images\0010_MRHN_SRGM_0045_F.jpg,C:\karthi\Projects\Mini project\Labels\0010_MRHN_SRGM_0045_F.txt,Surgical Mask,42,95,Person wearing Surgical Mask,104.0,185.0
0010_MRHN_SRGM_0090_B,360,360,2,C:\karthi\Projects\Mini project\Images\0010_MRHN_SRGM_0090_B.jpg,C:\karthi\Projects\Mini project\Labels\0010_MRHN_SRGM_0090_B.txt,Surgical Mask,31,41,Person wearing Surgical Mask,140.0,189.0
0010_MRHN_SRGM_0090_F,360,360,2,C:\karthi\Projects\Mini project\Images\0010_MRHN_SRGM_0090_F.jpg,C:\karthi\Projects\Mini project\Labels\0010_MRHN_SRGM_0090_F.txt,Surgical Mask,57,95,Person wearing Surgical Mask,117.0,192.0
